URL,Core Vitals Assessment,First Contentful Paint (FCP),Largest Contentful Paint (LCP),Cumulative Layout Shift (CLS),Total Blocking Time (TBT),Speed Index,Timestamp (UTC)
https://www.anxietyuk.org.uk/,SLOW,0.8 s (SLOW),2.2 s (SLOW),0.003 (AVERAGE),520 ms,2.8 s,2025-07-05T11:33:40.717Z
https://www.anxietyuk.org.uk/about-us/,SLOW,0.7 s (SLOW),2.3 s (SLOW),0.04 (FAST),750 ms,4.0 s,2025-07-05T11:34:21.444Z
https://www.anxietyuk.org.uk/global-anxiety-alliance/,SLOW,0.8 s (SLOW),2.1 s (SLOW),0.002 (FAST),"1,040 ms",3.1 s,2025-07-05T11:35:00.052Z
https://www.anxietyuk.org.uk/reviews-guidance/,SLOW,0.8 s (SLOW),1.5 s (SLOW),0.004 (FAST),680 ms,3.0 s,2025-07-05T11:35:41.492Z
https://www.anxietyuk.org.uk/medical-gaslighting-and-diagnostic-overshadowing/,SLOW,0.8 s (SLOW),1.5 s (SLOW),0.002 (FAST),"1,110 ms",3.3 s,2025-07-05T11:36:15.055Z
https://www.anxietyuk.org.uk/get-help/,SLOW,0.8 s (SLOW),1.8 s (SLOW),0.004 (FAST),510 ms,2.9 s,2025-07-05T11:36:56.312Z
https://www.anxietyuk.org.uk/get-help/become-a-member/,SLOW,0.8 s (SLOW),1.6 s (SLOW),0.004 (FAST),800 ms,3.9 s,2025-07-05T11:37:33.802Z
https://www.anxietyuk.org.uk/therapy-referrals/,SLOW,0.8 s (SLOW),2.0 s (SLOW),0.004 (FAST),830 ms,4.5 s,2025-07-05T11:38:14.489Z
https://www.anxietyuk.org.uk/benefits/,SLOW,0.8 s (SLOW),1.5 s (SLOW),0.008 (FAST),460 ms,2.8 s,2025-07-05T11:38:56.391Z
https://www.anxietyuk.org.uk/anxiety-support-groups/,SLOW,0.8 s (SLOW),1.5 s (SLOW),0.013 (FAST),360 ms,2.9 s,2025-07-05T11:39:30.540Z
https://www.anxietyuk.org.uk/get-help/anxiety-uk-courses-and-groups/,SLOW,0.8 s (SLOW),1.8 s (SLOW),0.003 (FAST),630 ms,4.3 s,2025-07-05T11:40:00.930Z
https://www.anxietyuk.org.uk/get-help/students-and-anxiety/,SLOW,0.8 s (SLOW),1.6 s (SLOW),0.004 (FAST),500 ms,2.8 s,2025-07-05T11:40:37.347Z
https://www.anxietyuk.org.uk/get-help/helping-your-child/,SLOW,0.8 s (SLOW),1.6 s (SLOW),0.002 (FAST),810 ms,2.9 s,2025-07-05T11:41:18.084Z
https://www.anxietyuk.org.uk/herbal-alternative-medication/,SLOW,0.8 s (SLOW),2.7 s (SLOW),0.011 (FAST),550 ms,2.8 s,2025-07-05T11:41:53.658Z
https://www.anxietyuk.org.uk/get-help/financial-hardship-support/,SLOW,0.8 s (SLOW),2.1 s (SLOW),0.004 (FAST),370 ms,4.0 s,2025-07-05T11:43:15.922Z
https://www.anxietyuk.org.uk/frequently-asked-questions/,SLOW,0.7 s (SLOW),1.4 s (SLOW),0.003 (FAST),510 ms,2.8 s,2025-07-05T11:43:49.719Z
https://www.anxietyuk.org.uk/get-help/about-anxiety-and-anxiety-disorders/,SLOW,0.8 s (SLOW),1.5 s (SLOW),0.004 (FAST),420 ms,4.2 s,2025-07-05T11:44:26.151Z
https://www.anxietyuk.org.uk/types-of-anxiety/,SLOW,0.8 s (SLOW),1.4 s (SLOW),0.004 (FAST),540 ms,2.7 s,2025-07-05T11:44:59.437Z
https://www.anxietyuk.org.uk/anxiety-and-other-conditions/,SLOW,0.9 s (SLOW),1.9 s (SLOW),0.004 (FAST),470 ms,2.8 s,2025-07-05T11:45:42.958Z
https://www.anxietyuk.org.uk/resources/,SLOW,0.9 s (SLOW),2.0 s (SLOW),0.004 (FAST),650 ms,2.6 s,2025-07-05T11:46:19.483Z
https://www.anxietyuk.org.uk/get-help/nutrition-and-anxiety/,SLOW,0.8 s (SLOW),2.5 s (SLOW),0.004 (FAST),830 ms,2.9 s,2025-07-05T11:46:55.785Z
https://www.anxietyuk.org.uk/and-relax/,SLOW,0.8 s (SLOW),1.3 s (SLOW),0.046 (FAST),"1,180 ms",3.8 s,2025-07-05T11:47:35.955Z
https://www.anxietyuk.org.uk/get-involved/podcasts/,SLOW,0.8 s (SLOW),2.3 s (SLOW),0.004 (FAST),450 ms,3.7 s,2025-07-05T11:48:16.359Z
https://www.anxietyuk.org.uk/get-involved/webinars/,SLOW,0.8 s (SLOW),2.0 s (SLOW),0.084 (FAST),"7,920 ms",7.8 s,2025-07-05T11:50:55.528Z
https://www.anxietyuk.org.uk/get-involved/blogs/,SLOW,1.0 s (SLOW),1.8 s (SLOW),0.002 (FAST),"1,040 ms",2.9 s,2025-07-05T11:52:34.119Z
https://www.anxietyuk.org.uk/get-help/supporting-others/,SLOW,0.8 s (SLOW),2.4 s (SLOW),0.002 (FAST),760 ms,3.0 s,2025-07-05T11:53:13.345Z
https://www.anxietyuk.org.uk/get-involved/current-anxiety-research/,SLOW,0.9 s (SLOW),1.6 s (SLOW),0.004 (FAST),400 ms,2.8 s,2025-07-05T11:53:53.977Z
https://www.anxietyuk.org.uk/get-involved/,SLOW,0.8 s (SLOW),1.8 s (SLOW),0.003 (FAST),670 ms,3.2 s,2025-07-05T11:54:25.686Z
https://www.anxietyuk.org.uk/get-involved/become-an-anxiety-uk-approved-therapist-new/,SLOW,0.8 s (SLOW),1.5 s (SLOW),0.003 (FAST),"1,000 ms",5.4 s,2025-07-05T11:55:03.339Z
https://www.anxietyuk.org.uk/anxiety-uk-approved-therapist-placement-trainee-applications/,SLOW, 0.8 s (SLOW),1.3 s (SLOW),0.109 (FAST),400 ms,2.6 s,2025-07-05T14:36:22.550Z
https://www.anxietyuk.org.uk/anxiety-uk-approved-therapist-applications/,SLOW,0.8 s (SLOW),1.1 s (SLOW),0.014 (FAST),530 ms,2.8 s,2025-07-05T11:57:53.889Z
https://www.anxietyuk.org.uk/get-involved/volunteer-with-us/,SLOW,0.8 s (SLOW),1.6 s (SLOW),0.005 (FAST),750 ms,3.9 s,2025-07-05T11:58:30.931Z
https://www.anxietyuk.org.uk/get-involved/play-the-anxiety-uk-lottery/,SLOW,0.8 s (SLOW),1.6 s (SLOW),0.007 (FAST),360 ms,2.8 s,2025-07-05T11:59:10.283Z
https://www.anxietyuk.org.uk/get-involved/other-ways-to-support-anxiety-uk/,SLOW,0.8 s (SLOW),2.0 s (SLOW),0.002 (FAST),"1,180 ms",3.1 s,2025-07-05T11:59:43.144Z
https://www.anxietyuk.org.uk/legacies-and-in-memorial/,SLOW,0.8 s (SLOW),3.0 s (SLOW),0.004 (FAST),430 ms,3.1 s,2025-07-05T12:00:22.403Z
https://www.anxietyuk.org.uk/anxiety-research-3/,SLOW,0.8 s (SLOW),1.7 s (SLOW),0.003 (FAST),460 ms,2.9 s,2025-07-05T12:00:52.358Z
https://www.anxietyuk.org.uk/get-involved/music-competition/,SLOW,1.0 s (SLOW),3.2 s (SLOW),0.004 (FAST),510 ms,3.0 s,2025-07-05T12:01:31.444Z
https://www.anxietyuk.org.uk/workplace/,SLOW,0.8 s (SLOW),1.6 s (SLOW),0.001 (FAST),430 ms,2.6 s,2025-07-05T12:02:02.277Z
https://www.anxietyuk.org.uk/workplace/workplace-training/,SLOW,0.8 s (SLOW),1.4 s (SLOW),0.035 (FAST),700 ms,2.9 s,2025-07-05T12:02:35.506Z
https://www.anxietyuk.org.uk/workplace/charity-of-the-year/,SLOW,0.8 s (SLOW),1.7 s (SLOW),0.006 (FAST),210 ms,4.1 s,2025-07-05T12:03:14.140Z
https://www.anxietyuk.org.uk/support-for-non-profit-organisations/,SLOW,0.8 s (SLOW),1.5 s (SLOW),0.007 (FAST),510 ms,2.9 s,2025-07-05T12:03:49.973Z
https://www.anxietyuk.org.uk/support-for-the-workplace/,SLOW,0.8 s (SLOW),1.6 s (SLOW),0.005 (FAST),330 ms,2.9 s,2025-07-05T12:04:25.353Z
https://www.anxietyuk.org.uk/workplace/working-with-us/,SLOW,0.8 s (SLOW),1.6 s (SLOW),0.03 (FAST),290 ms,3.0 s,2025-07-05T12:04:53.252Z
